Rank,Peak,Title,Worldwide gross,Year
1,1,Avatar,2787965087,2009
2,1,Titanic,2186772302,1997
3,3,Star Wars: The Force Awakens,2068223624,2015
4,3,Jurassic World,1670400637,2015
5,3,The Avengers,1519557910,2012
6,4,Furious 7,1516045911,2015
7,5,Avengers: Age of Ultron,1405413868,2015
8,3,Harry Potter and the Deathly Hallows – Part 2,1341511219,2011
9,5,Frozen,1287000000,2013
10,5,Iron Man 3,1215439994,2013
11,10,Minions,1159398397,2015
12,12,Captain America: Civil War,1153239594,2016
13,4,Transformers: Dark of the Moon,1123794079,2011
14,2,The Lord of the Rings: The Return of the King,1119929521,2003
15,7,Skyfall,1108561013,2012
16,10,Transformers: Age of Extinction,1104054072,2014
17,7,The Dark Knight Rises,1084939099,2012
18,4,Toy Story 3,1066969703,2010
19,3,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006
20,6,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
21,1,Jurassic Park,1029939903,1993
22,2,Star Wars: Episode I – The Phantom Menace,1027044677,1999
23,5,Alice in Wonderland,1025467110,2010
24,24,Zootopia,1023595958,2016
25,14,The Hobbit: An Unexpected Journey,1021103568,2012
26,4,The Dark Knight,1004558444,2008
27,27,Finding Dory,1001480568,2016
28,2,Harry Potter and the Philosopher's Stone,974755371,2001
29,19,Despicable Me 2,970761885,2013
30,2,The Lion King,968483777,1994
31,30,The Jungle Book,966220138,2016
32,5,Pirates of the Caribbean: At World's End,963420425,2007
33,10,Harry Potter and the Deathly Hallows – Part 1,960283305,2010
34,24,The Hobbit: The Desolation of Smaug,958366855,2013
35,26,The Hobbit: The Battle of the Five Armies,956019788,2014
36,8,Finding Nemo,940335536,2003
37,6,Harry Potter and the Order of the Phoenix,939885929,2007
38,8,Harry Potter and the Half-Blood Prince,934416487,2009
39,4,The Lord of the Rings: The Two Towers,926047111,2002
40,6,Shrek 2,919838758,2004
41,8,Harry Potter and the Goblet of Fire,896911078,2005
42,10,Spider-Man 3,890871626,2007
43,15,Ice Age: Dawn of the Dinosaurs,886686817,2009
44,40,Spectre,880674609,2015
45,6,Harry Potter and the Chamber of Secrets,878979634,2002
46,29,Ice Age: Continental Drift,877244782,2012
47,45,Batman v Superman: Dawn of Justice,873260194,2016
48,5,The Lord of the Rings: The Fellowship of the Ring,871530324,2001
49,34,The Hunger Games: Catching Fire,865011746,2013
50,43,Inside Out,857611174,2015